Worldcat entity,Works,Publications,Library Holdings,Google Scholar Citations
"Cronin, Blaise",144,582,6749,11122
"Chen, Chaomei",42,243,5867,15968
"Egghe, L. (Leo)",57,186,3718,
"Garfield, Eugene",150,447,3386,30105
"Moed, H. F.",45,165,2385,13026
"Sugimoto, Cassidy R.",10,85,2270,5894
"Braun, Tibor",156,389,2268,9430
"Wolfram, Dietmar",15,49,1769,
"Debackere, Koenraad",105,175,1628,9762
"Ingwersen, Peter",33,142,1608,11316
"Rousseau, R.",25,121,1385,13534
"Rowlands, Ian",22,92,1298,5188
"Leydesdorff, L. A.",64,189,1230,47889
"Thelwall, Mike",46,113,1132,28585
"Glänzel, Wolfgang",53,114,1115,18238
"De Bellis, Nicola",7,25,762,
"Narin, Francis",45,96,426,15324
"Raan, A. F. J. van",32,68,406,13857
"Schubert, András",21,62,394,12816
"Persson, Olle",121,174,257,5205
"Bornmann, Lutz",14,28,215,14945
"Nederhof, A. J.",38,59,199,